timestamp,x,y,z,r
2024/06/05-18:53:31.408491,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.478978,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.584366,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.643715,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.719871,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.778151,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.858823,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.904098,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:31.985375,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.064265,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.162621,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.243917,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.314965,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.394699,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.479859,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.552660,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.644593,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.726216,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.782923,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.834993,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:32.998733,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:33.037010,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:33.101610,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:33.190189,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:33.262375,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:33.351369,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:33.438320,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:33.512868,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:33.935222,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.016616,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.056408,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.146369,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.214005,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.294483,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.383655,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.478546,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.536795,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.585764,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.672414,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.710363,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.783399,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.875451,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:34.960961,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.059759,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.171015,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.236698,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.333420,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.406121,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.502776,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.587476,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.629925,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.710826,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.832408,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.924495,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:35.975651,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.051919,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.133757,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.176094,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.254515,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.337709,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.380303,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.447498,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.573838,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.685145,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.722404,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.774373,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.865291,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:36.952612,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.046996,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.126961,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.161874,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.279930,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.364279,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.433761,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.514161,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.571069,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.616429,400.32,-96.77,272.65,-4.01
